latitude,longitude,rainfall_mm_24h,rainfall_mm_72h,antecedent_rain_7d,slope_deg,aspect_deg,elevation_m,soil_type,vegetation_cover_pct,road_proximity_km,fault_proximity_km,seismic_activity,prev_landslide_1km,district_risk_index,landslide_occurred
27.663015646496625,86.54782134797198,46.4,101.85,123.23,14.74,152.4,2268.8,0,72.9,4.27,3.83,0,0,0.278,0
28.395515089002938,82.57624517715698,59.6,129.56,188.71,22.83,163.9,2810.7,2,78.7,3.77,13.07,3,0,0.314,1
28.86776083251163,88.07663305305374,41.33,144.01,211.64,36.34,231.6,2804.9,2,80.6,1.03,5.07,0,0,0.762,1
29.01973131850105,82.86809608552512,65.47,199.38,224.25,33.66,38.4,2990.7,0,27.0,1.72,2.87,2,0,0.24,0
26.94018053393259,82.0841686323568,51.1,118.09,148.41,27.3,90.5,2716.4,3,55.1,1.17,4.62,2,1,0.945,0
26.493693449127655,82.17875493159077,43.6,148.11,200.55,23.82,187.6,3318.3,0,70.0,1.4,16.86,0,0,0.22,0
27.8863434427732,83.29473449453398,58.53,189.54,230.44,6.52,25.2,3906.2,1,85.6,1.66,13.97,0,0,0.228,0
27.672908182059366,82.75937465987505,63.09,186.48,209.26,17.83,47.2,1370.2,2,79.4,0.28,11.25,0,0,0.245,0
27.640156511219715,82.68223802813566,54.89,149.78,152.3,42.54,178.3,2833.0,3,39.7,1.23,1.22,0,0,0.822,0
29.61351910012455,81.23025617931289,36.63,118.04,163.3,4.47,241.6,2779.1,1,76.1,0.3,11.25,0,0,0.373,0
26.821127954531068,80.69084753968684,50.6,143.61,241.38,36.93,110.0,3689.4,2,72.3,8.08,12.82,2,0,0.857,1
28.445084315362024,82.82832343852851,50.71,171.73,222.46,16.08,309.7,597.0,3,35.6,0.93,13.89,0,0,0.696,1
29.02309118516987,83.85224423025672,49.49,143.29,149.58,6.3,297.2,2760.1,3,70.1,1.12,4.73,0,0,0.451,0
29.927277148570763,86.68931162963028,37.84,109.44,112.02,35.03,359.5,4961.5,3,55.9,3.64,10.44,1,1,0.364,1
27.46303455680054,81.89417780197788,46.54,122.25,151.98,34.73,184.5,4014.2,1,65.9,0.39,7.31,2,0,0.49,0
29.279879336591737,81.68588815411293,44.96,93.12,141.29,41.94,335.4,2100.4,1,70.0,8.81,12.4,0,0,0.916,1
30.280568781661394,84.55613142790413,53.37,166.71,218.31,30.69,42.7,3457.7,2,34.1,0.95,12.41,2,0,0.914,0
27.596573995128253,83.08615167726296,47.25,105.06,132.67,43.5,156.8,1997.8,1,85.6,0.13,5.24,2,1,0.524,0
28.674162395665427,81.29335291974917,56.08,155.86,163.92,27.09,112.6,2625.6,2,83.2,1.28,47.74,0,0,0.483,0
30.194652545925997,80.55261042558502,49.69,146.33,166.22,21.54,247.8,749.3,3,35.3,1.35,15.71,1,0,0.259,0
29.262869490324796,88.12990146633507,58.23,124.01,179.39,30.3,62.2,1785.5,1,85.4,0.29,18.51,2,0,0.737,0
28.34809759974134,85.57607393733836,83.8,280.71,379.69,25.92,344.6,4898.4,2,31.7,1.28,6.96,0,0,0.472,0
28.071355873454127,83.21983979509756,35.68,93.3,99.68,24.81,30.4,784.3,3,82.1,0.61,6.38,0,0,0.443,0
30.045253661489756,86.31940418844553,45.66,157.5,232.58,67.07,317.9,3813.7,1,70.0,7.69,17.41,1,0,0.356,0
26.923943874774572,87.62850069968681,62.7,181.82,227.21,11.44,330.5,1770.0,2,79.1,7.52,1.23,0,0,0.762,0
28.2539904888017,85.4705185469365,56.23,186.22,259.56,6.07,343.4,2278.3,1,82.1,0.26,6.77,0,1,0.474,0
28.480309027234547,80.44157911043928,44.56,142.08,167.6,59.9,62.6,1929.4,2,47.5,2.84,0.54,1,1,0.784,1
29.495788972738907,86.88162724007161,51.43,179.73,221.14,18.9,79.3,3350.4,3,47.5,2.22,5.5,1,0,0.302,0
27.966899471336912,84.44919271009739,72.39,232.23,282.0,32.47,8.9,3003.3,0,51.7,0.68,3.6,0,1,0.449,0
28.84993426663255,87.01131168413157,50.62,163.77,255.01,34.72,287.6,2072.1,3,53.6,0.07,4.04,2,0,0.944,1
26.822970488664616,81.41933487339038,75.34,233.12,328.63,50.7,220.6,3337.3,2,70.1,0.65,6.63,1,1,0.748,0
27.337497131951455,84.95602236099852,39.88,133.51,163.67,15.42,12.0,1555.9,1,26.9,1.61,1.66,0,0,0.76,0
30.38998783400231,87.25335469191009,49.63,149.32,164.03,12.76,28.9,3362.7,2,26.5,0.58,9.93,1,0,0.816,1
27.34537623955053,83.88935983108398,40.91,90.67,133.87,12.36,207.6,4210.3,3,28.2,8.97,14.89,0,0,0.675,1
28.742742195618902,85.0495243827581,53.73,174.9,209.59,50.72,219.1,1659.6,0,38.3,1.22,7.84,0,0,0.862,1
28.892731082876338,84.88150717622962,61.66,198.87,246.35,11.99,261.0,4857.2,1,75.2,0.56,1.73,0,0,0.255,0
27.878302859327903,83.56170018928974,61.91,171.47,187.41,28.08,354.0,2482.3,2,59.4,0.45,15.96,0,0,0.84,1
30.255721739745994,88.07455018697499,47.66,97.51,118.31,71.38,338.3,2892.9,1,92.6,1.34,0.86,1,0,0.909,1
27.844712745376775,87.36900932446684,54.41,127.24,143.35,47.93,339.2,3840.9,3,76.0,0.62,12.56,0,1,0.389,0
29.320726426767283,84.19540060836194,64.22,158.5,202.03,15.39,118.6,3224.6,1,54.3,3.27,16.8,1,0,0.771,1
26.437759769273224,84.73429177894943,56.37,154.03,193.19,29.99,301.4,1939.9,3,18.2,0.23,1.88,1,0,0.932,1
29.547673198327892,86.00486518383605,54.89,125.52,202.96,32.24,88.6,673.7,2,72.6,6.97,0.49,0,0,0.618,1
28.565852121506538,81.4316253169246,47.4,145.04,184.13,33.16,341.7,4972.1,1,55.0,2.05,4.82,1,0,0.463,0
28.42874347490975,82.91845185279536,35.98,123.97,153.49,20.21,359.9,3443.2,2,47.1,0.15,7.18,1,0,0.494,0
29.97133933933602,83.02730030338216,53.12,129.29,195.22,32.07,105.2,2441.0,3,58.5,1.41,7.24,0,0,0.589,1
28.185131608448412,80.47152308591535,49.79,120.31,182.03,23.35,140.2,4578.4,1,90.6,0.76,35.15,2,0,0.574,0
27.42391424811559,87.03298920646645,51.85,143.34,159.04,52.38,249.1,4470.5,0,86.9,1.62,5.79,0,0,0.647,0
26.41238315648667,82.42936014784179,55.79,112.06,208.88,23.36,195.3,2165.9,2,48.5,5.03,8.1,1,0,0.369,1
28.495932147812404,84.59549469824931,56.84,115.59,118.69,40.46,169.6,1293.2,2,36.9,2.68,3.48,0,1,0.464,0
28.652336512617076,87.58240229673372,33.76,88.64,128.51,31.74,262.2,2275.3,3,91.9,0.52,1.09,2,0,0.253,1
28.182050601305015,82.9187293249451,43.97,111.4,159.14,7.34,245.3,2599.3,1,59.9,0.48,22.79,1,0,0.826,0
30.336425859636257,80.56759170529622,56.98,185.18,261.18,23.77,130.0,3637.1,2,54.7,3.1,43.0,2,0,0.704,1
28.89897931567756,85.35987793038608,52.86,146.23,147.81,17.33,224.2,993.8,1,61.9,0.55,9.13,0,1,0.914,1
28.232153047892574,81.28299853267883,66.04,176.77,179.31,14.02,346.2,4661.1,1,72.4,1.61,1.3,1,0,0.664,1
27.800931195137373,86.66067367886033,41.42,92.94,188.52,40.74,331.6,2487.9,2,41.5,2.53,9.82,2,1,0.527,0
27.264603525137368,88.10043763867507,30.27,97.83,118.7,55.86,278.2,3399.0,3,80.8,8.08,1.73,0,1,0.245,0
30.215393115431315,84.36001813907068,60.68,158.66,188.67,37.28,317.5,3090.8,3,83.9,1.48,5.7,1,0,0.948,0
29.096314127184176,86.45790205979704,48.96,162.47,186.72,27.35,19.8,589.7,3,71.6,1.54,0.45,0,1,0.773,0
27.295995109172345,81.17915268418191,67.48,179.1,269.83,21.39,73.7,1744.4,0,49.1,1.04,3.71,2,0,0.83,0
28.443791095500615,82.07613298036343,47.62,114.75,214.46,45.07,163.1,3644.4,2,44.2,0.05,23.63,2,1,0.708,1
29.24571113210024,85.02112518121878,45.16,96.47,111.42,31.24,122.6,630.8,3,40.5,3.6,15.77,0,0,0.367,0
28.73086795005068,82.65229484040502,48.14,125.33,143.76,16.53,65.6,3197.2,3,70.2,5.21,1.06,1,0,0.434,0
26.63772566905445,82.18061622665154,39.9,129.26,210.58,41.44,109.7,2373.8,3,68.1,5.61,2.68,1,0,0.574,0
29.388026284464665,87.69296234826922,55.28,180.09,254.98,15.55,126.0,3255.5,1,60.5,1.97,8.07,0,0,0.373,0
30.072334677875837,81.6044282451802,60.32,132.14,151.01,24.97,177.5,1054.8,0,63.5,1.97,0.87,0,0,0.873,0
29.034900725493397,87.77321895816512,52.26,105.4,117.93,29.38,169.2,3607.9,0,30.8,5.37,2.13,0,1,0.667,0
28.809122792803215,87.11690704057241,53.77,139.36,218.29,87.36,355.4,2766.8,1,27.4,0.32,9.42,0,0,0.863,0
29.090212976174275,83.94457238378384,28.79,78.29,165.14,35.55,329.6,1752.1,1,25.7,1.73,4.97,0,1,0.903,0
30.127434542896868,85.30527283036494,57.86,153.4,180.97,46.96,144.9,622.1,1,48.0,8.89,3.35,0,1,0.509,1
29.70457297694038,81.51769331868421,49.45,154.75,172.89,12.13,58.7,709.3,1,88.3,3.57,11.06,1,0,0.334,0
30.3824547171026,87.32064687585942,70.6,143.99,198.66,39.4,192.1,3751.4,1,31.6,7.71,0.08,0,0,0.363,1
29.742692963057166,87.98189686189372,49.88,118.39,186.41,16.0,51.3,3201.4,1,45.9,0.41,1.63,0,1,0.347,0
29.762293251877107,83.91436031172924,37.12,95.4,105.78,18.25,329.0,507.6,3,41.0,6.23,2.52,0,1,0.427,0
29.63193638925574,82.26741377401747,49.25,171.29,173.89,20.7,321.4,1931.9,2,15.7,1.26,11.04,1,0,0.869,0
28.476140767362775,85.47655105725221,49.31,152.34,240.42,59.12,316.5,901.9,2,88.9,5.57,2.8,1,0,0.288,0
26.696668160078158,87.21027395033255,64.9,197.9,274.08,39.54,113.1,2760.4,2,60.4,1.64,0.08,1,0,0.36,0
28.845947197271858,80.76916915142206,51.64,145.79,235.34,74.39,182.0,4190.9,2,72.7,3.43,0.31,1,0,0.803,0
28.29716468620051,82.13932559688467,72.65,218.17,232.36,21.72,29.4,1634.2,2,43.1,3.52,8.37,3,0,0.956,1
30.288569000308048,87.25179929275825,54.31,173.95,261.56,12.12,2.6,683.1,2,69.1,1.53,1.94,1,0,0.958,0
28.08329637596846,81.6391960270232,46.08,142.86,168.95,62.62,203.6,4944.3,2,61.5,1.63,11.86,1,0,0.265,1
28.2441263282897,83.40140794414165,61.11,187.47,208.89,33.37,14.7,647.9,1,78.5,1.0,17.6,2,1,0.949,1
26.607864687210263,85.0895359499953,63.72,190.91,201.21,38.59,346.6,4107.2,3,34.3,0.56,3.05,1,0,0.547,0
26.565485320833666,82.79879599090289,21.51,66.11,146.23,22.45,27.2,2551.9,2,54.6,1.05,3.2,1,0,0.621,0
26.352140797358466,86.77333130493075,44.51,122.12,183.28,45.21,156.7,2887.7,1,35.3,0.57,16.95,0,0,0.479,1
26.954015083495637,85.74709773855055,47.09,140.63,240.02,39.61,97.8,2716.5,1,66.1,0.41,10.59,0,0,0.396,0
27.865373783905945,87.22907114553813,42.84,99.25,145.72,28.96,295.2,4310.3,2,57.5,0.91,23.45,0,0,0.539,0
29.34370833918675,80.7969479382942,61.69,140.61,164.81,16.17,337.2,1420.2,2,43.5,0.19,1.81,0,0,0.886,1
30.213945001194688,86.93870901445226,66.93,191.76,232.69,0.91,284.4,601.8,0,84.2,3.32,6.91,2,1,0.222,0
27.359798884865118,84.20064851368188,59.42,155.91,176.5,27.68,298.4,4616.4,1,91.8,1.09,10.99,2,0,0.489,1
27.03213977239669,81.10577681909639,61.85,183.91,184.0,16.23,314.2,2268.2,0,33.7,4.41,5.15,0,0,0.28,0
29.175620919760977,87.05874402413657,56.51,194.01,222.65,48.62,216.2,3605.1,3,76.7,9.47,1.92,1,0,0.709,1
30.09555765128414,86.13927363872828,53.29,183.12,261.98,48.57,259.4,1527.9,2,35.2,2.01,13.91,0,1,0.306,0
28.579338462933762,81.60732573958968,56.79,123.59,201.1,36.14,100.5,4828.4,2,57.7,2.03,1.3,2,0,0.3,1
28.65222130023205,84.95273335231771,40.43,139.02,171.35,19.59,283.4,3664.7,2,43.1,0.1,7.55,2,0,0.905,1
26.654765937574645,81.85086469952032,58.99,121.23,125.08,17.18,256.1,3360.4,2,46.1,0.94,8.97,2,0,0.491,1
28.83592366033321,86.74908116738855,51.18,144.67,147.06,19.79,353.2,2113.3,2,65.8,0.4,12.2,0,0,0.913,0
28.94455327479456,81.9448478215669,61.74,183.08,235.08,53.17,206.5,1109.4,1,61.2,1.41,2.45,2,0,0.805,1
27.133287897544452,85.44677391698133,50.86,131.83,167.89,53.47,247.5,850.7,0,65.5,2.39,3.26,1,0,0.537,0
29.59184399402775,83.87953228630465,34.8,75.25,116.48,11.98,218.0,2199.1,1,31.4,3.94,1.81,1,1,0.576,1
26.846692557365795,83.36951315954693,61.79,170.88,211.26,79.76,265.9,2262.9,2,81.9,0.09,7.25,1,0,0.31,1
27.257687338022716,80.65838962112211,52.59,118.5,150.5,28.96,246.4,2137.5,0,55.0,4.4,1.23,0,0,0.824,1
26.50285491128731,81.35672209262817,34.52,81.37,97.83,13.91,201.2,4445.1,0,60.2,0.07,9.32,1,0,0.601,0
28.900074131283617,85.02964624218264,46.42,98.49,112.52,21.95,28.1,4205.3,2,43.7,0.8,0.94,2,0,0.555,1
28.49637214576212,80.37536559880589,57.66,121.34,186.01,27.12,346.4,2779.4,3,68.6,0.37,0.12,0,0,0.424,0
29.53926948239017,83.39853405025482,64.2,214.11,231.16,15.36,316.2,3627.3,2,74.4,0.91,13.68,0,0,0.802,1
27.501261875452546,86.22519078714294,46.14,101.53,136.58,9.04,79.3,3679.1,0,34.1,10.46,4.21,3,0,0.732,0
28.456100076662075,83.25031612843227,37.79,78.8,113.55,57.71,283.1,894.4,3,37.5,0.31,18.74,0,0,0.744,1
28.548684986017427,81.80060682864574,67.37,223.13,255.89,45.26,154.8,1852.0,1,64.8,0.36,0.68,0,1,0.59,0
27.254704695849018,86.51999892876282,52.39,126.5,183.32,27.19,320.9,2702.8,3,71.8,1.14,28.43,0,0,0.885,1
28.533195186983363,81.92085028719868,62.51,181.58,215.92,16.49,1.7,540.6,0,68.1,0.32,8.25,0,0,0.606,0
29.58080758928529,82.61008608407,53.95,108.65,203.01,35.21,336.0,884.2,2,38.0,0.8,20.12,3,0,0.713,0
29.4942666472585,87.56196744788137,44.43,94.94,193.33,30.36,126.2,2707.2,0,46.0,1.65,3.8,0,0,0.764,0
27.394899392996134,87.209194999857,41.97,140.41,196.72,23.65,327.0,3037.8,3,54.1,0.05,9.08,0,0,0.412,0
28.13139813631392,83.04009776419234,63.44,218.61,251.14,6.15,307.1,1916.0,2,83.8,0.39,14.8,1,1,0.506,0
26.841589862535436,83.19382366921087,54.97,191.04,233.76,40.49,73.9,3787.0,2,59.7,0.61,16.65,1,0,0.366,1
29.050865873944247,87.86920698014715,45.08,123.45,149.84,32.2,115.9,2968.6,0,32.5,10.31,22.4,2,0,0.601,0
30.289128661008696,81.67473812879963,29.5,74.29,138.73,41.14,84.9,4710.8,1,68.0,1.8,32.9,2,0,0.528,0
28.406756071232813,81.92525942873607,65.02,203.41,228.44,16.75,191.4,3430.7,1,72.0,2.23,8.09,3,0,0.389,1
26.36271009136175,81.83257340931469,49.41,121.71,203.27,6.78,37.8,1832.2,2,95.8,0.17,12.23,0,0,0.633,1
28.849056421912785,83.19397426592049,65.12,163.13,202.93,8.16,273.3,4365.5,0,59.7,2.3,1.27,0,1,0.347,0
29.049120410533334,80.11823958031269,68.42,223.13,235.22,15.32,173.9,2313.1,0,90.6,8.67,9.35,0,0,0.365,1
28.98798081529295,81.91858622541943,63.88,204.46,242.79,8.69,328.7,2889.5,1,68.6,0.24,10.93,1,1,0.215,0
27.800239241838124,84.96532092822451,57.54,126.61,176.76,53.57,168.5,1889.8,1,57.1,1.6,1.5,3,0,0.75,1
26.37452029661113,83.5973976540889,57.33,155.93,191.39,7.92,176.3,4324.9,3,38.4,3.33,19.04,0,0,0.312,0
28.768507234607654,83.64560078596982,31.67,79.98,160.11,16.45,123.5,1273.0,3,82.2,3.15,11.24,1,0,0.345,0
26.75668490143368,81.21100256564424,55.86,171.92,227.44,9.13,295.8,3846.1,1,69.5,6.34,28.11,0,0,0.325,0
29.76697787346229,87.56067023542826,45.21,123.75,176.28,40.13,313.8,4720.5,1,29.8,2.84,53.28,1,0,0.817,0
29.869827076398295,86.00505131904988,43.41,127.39,204.67,66.54,271.6,1952.5,3,78.5,0.04,14.42,0,0,0.757,1
30.31287908964215,88.10842128369204,62.85,148.72,158.81,54.87,233.9,4370.1,2,83.3,1.38,13.39,0,0,0.824,0
29.27502436141667,82.96010364018271,63.06,159.59,168.62,23.55,168.8,2936.3,3,84.1,1.05,13.29,0,0,0.65,0
30.255605895004745,80.93238510339721,57.92,201.87,209.28,29.04,324.0,2784.6,1,78.4,0.31,10.37,0,0,0.499,1
30.28726056834026,87.11646761657765,54.18,138.26,162.1,16.83,21.4,1927.9,1,79.0,0.58,13.43,0,0,0.36,1
30.3261538321899,87.5230566467431,60.14,161.68,233.5,12.66,105.5,3276.9,0,67.5,1.37,8.64,2,0,0.921,0
30.082790165070964,84.78743563259194,43.77,143.3,192.22,9.31,206.3,2209.9,2,83.9,1.1,27.78,0,0,0.855,1
27.853569147326727,80.89220429890702,65.03,215.86,315.59,37.87,114.0,1468.2,3,79.0,2.23,1.0,1,0,0.732,0
26.462417612074677,83.47826644943109,71.96,163.04,184.11,23.14,235.8,1915.1,1,54.6,0.28,17.69,3,0,0.575,0
29.87823906947016,82.3817552715158,62.45,202.13,203.41,47.32,15.7,1539.9,3,64.1,3.13,7.04,0,0,0.672,0
28.18612869657867,87.39035391016657,40.29,104.1,111.11,36.66,128.9,1051.2,3,52.8,2.86,6.91,0,0,0.993,0
28.393655371889043,80.30921151424974,43.78,143.85,194.22,56.12,297.9,3853.4,3,47.8,0.66,10.65,1,0,0.857,1
29.090494427190965,81.88512534991652,37.41,95.42,143.68,16.39,214.4,3683.9,2,61.8,1.96,4.32,0,1,0.637,0
27.68720003222632,88.08357994081398,43.94,99.47,158.36,39.88,181.9,4979.7,1,51.3,1.16,6.26,1,0,0.609,1
27.899885343762943,87.75173780957897,68.96,138.15,201.43,21.07,309.4,4704.3,0,93.9,1.91,10.58,1,0,0.9,0
27.16548182276112,80.89919543863572,69.06,160.76,227.84,16.27,284.3,3407.8,3,79.4,0.7,7.96,2,0,0.587,0
27.82130648191813,83.30244881210436,30.63,103.4,171.39,46.86,277.1,1442.0,3,53.1,0.35,17.82,1,0,0.348,1
29.234287622862464,81.21847856180767,39.12,92.73,151.67,9.83,86.6,868.5,2,50.2,3.46,16.13,1,0,0.91,0
26.39648370389477,82.10206124047728,63.2,151.46,188.3,28.55,229.1,658.4,3,85.2,1.48,1.04,0,0,0.873,1
29.99506548090682,80.4078597507233,40.08,105.86,117.68,31.69,91.2,4620.5,1,38.0,1.73,7.31,0,0,0.497,0
28.776880642229816,83.66066229361218,58.98,151.69,211.34,70.24,28.4,4568.0,3,41.9,0.08,2.97,1,1,0.886,1
28.17382997194042,82.80621075839217,51.74,174.62,256.12,20.87,247.5,2227.9,0,56.5,0.54,6.49,2,0,0.634,0
26.947132891052384,83.67529032104379,58.22,168.22,205.04,83.24,272.6,585.6,3,87.6,1.04,18.16,2,1,0.796,0
27.359047271585162,82.39005043027574,61.79,148.27,148.62,12.34,90.4,3948.9,1,43.5,6.55,1.6,1,0,0.805,0
28.63668785746278,81.15076616977429,46.99,151.18,191.72,9.75,293.1,585.7,0,36.9,2.43,14.29,1,0,0.238,1
26.42816209746591,83.96759349932833,50.3,131.83,192.17,33.57,226.8,3565.6,3,80.5,3.4,15.54,3,0,0.382,1
27.807331939206314,80.14871385996788,57.4,156.53,204.65,21.06,205.4,2902.8,3,62.1,5.57,12.95,2,0,0.691,1
27.11177165245817,81.00854306106986,57.94,124.06,125.27,65.36,9.6,4839.6,2,90.3,8.53,1.44,0,0,0.261,1
27.70991680323674,87.58986275663764,46.77,137.9,164.16,36.44,263.6,3453.9,3,80.0,1.07,3.18,1,1,0.814,0
28.835055952690535,84.75083115277981,44.22,150.77,244.9,33.16,210.8,2578.4,1,80.9,1.03,12.55,1,0,0.415,1
29.512735124029888,87.7018568095499,56.76,135.64,199.98,46.85,108.3,4134.5,0,70.5,0.11,2.24,2,0,0.998,0
28.073217058131014,83.77507741197434,41.32,99.6,113.38,29.67,168.4,2668.2,3,83.5,0.04,8.41,2,0,0.288,0
28.00810031213563,88.1448329159927,50.89,157.35,214.29,17.13,330.2,1712.9,2,64.1,3.03,5.58,0,1,0.951,0
29.255061793528764,87.93288515233817,40.98,136.07,136.62,26.72,282.7,776.0,1,80.8,0.97,4.99,1,0,0.898,1
28.927699660488727,83.81879690305529,72.93,152.54,246.15,87.48,317.6,1252.4,3,38.9,0.19,0.87,0,0,0.52,0
28.255205245450544,82.88172702103995,77.93,202.43,216.87,25.14,220.6,3094.9,3,98.8,1.2,16.39,1,0,0.378,0
27.866897631118547,81.02668453164375,57.18,134.18,182.54,44.42,290.4,2447.3,0,55.1,0.16,6.38,0,0,0.216,0
30.18802354259459,85.67565484937974,50.66,163.5,234.46,15.4,231.5,4940.6,2,33.9,0.75,4.99,2,0,0.762,1
27.550782400892494,82.74140779277988,61.45,206.33,271.92,12.27,65.0,3213.2,2,81.2,3.15,13.37,0,0,0.785,0
29.543636823510475,88.00752414202738,66.17,140.2,144.11,5.96,336.2,3796.2,3,49.0,3.26,10.11,0,0,0.508,0
27.84774029436765,87.20712311107225,40.06,100.11,160.51,31.29,227.4,2513.3,0,50.8,0.08,28.5,0,1,0.434,0
26.70951158834935,80.12221802657987,45.52,93.02,124.72,18.27,261.1,1140.4,1,78.5,3.12,37.44,0,0,0.85,0
29.811893818092592,83.63912963624509,66.33,155.04,186.79,33.46,23.7,2250.8,2,77.4,1.77,2.64,1,1,0.478,0
