hour_of_day,day_of_week,month,event_type,venue_capacity,estimated_crowd,area_m2,entry_points,emergency_exits,security_personnel,ambient_temp_c,occupancy_ratio,density_per_m2,crowd_density_level,stampede_risk
18,6,8,0,90445,64209,148109,18,16,352,20.1,0.7099,0.4335,1,0.3623
3,5,3,3,16565,6738,27659,10,2,63,16.9,0.4068,0.2436,0,0.6936
23,6,9,1,540,427,1198,5,24,95,34.2,0.7907,0.3564,2,0.7135
12,5,7,0,99646,16182,226220,17,2,449,8.0,0.1624,0.0715,0,0.2639
19,3,9,0,24829,5286,39334,8,19,493,25.6,0.2129,0.1344,0,0.2294
15,6,10,4,12823,1943,18557,11,12,322,23.5,0.1515,0.1047,0,0.4032
13,3,7,0,57264,12646,110533,18,15,293,23.8,0.2208,0.1144,0,0.2524
12,1,4,0,46799,16602,97472,12,23,118,23.4,0.3548,0.1703,0,0.3652
20,6,8,2,39255,33753,85067,13,29,43,36.7,0.8598,0.3968,2,0.6625
16,3,12,4,37129,2900,48824,8,20,489,5.9,0.0781,0.0594,0,0.3971
21,2,11,0,21414,12469,20305,18,6,362,14.9,0.5823,0.6141,1,0.3313
22,6,5,3,33181,22965,28789,11,19,66,30.5,0.6921,0.7977,1,0.6452
20,6,6,0,16768,10045,27722,14,21,189,28.0,0.5991,0.3623,1,0.4233
3,6,6,1,72033,27754,40294,1,5,174,15.5,0.3853,0.6888,0,0.6886
14,0,4,1,39065,35308,44064,14,16,168,27.6,0.9038,0.8013,3,0.6629
9,5,5,2,76998,35445,95813,17,16,322,25.3,0.4603,0.3699,0,0.4329
9,0,11,3,24013,22817,37456,15,27,301,10.6,0.9502,0.6092,3,0.5277
16,0,6,0,40763,10073,35129,10,11,394,8.9,0.2471,0.2867,0,0.3544
19,0,4,0,8806,4561,19342,7,22,109,33.0,0.5179,0.2358,1,0.504
6,1,8,0,74351,26658,115611,18,24,290,7.2,0.3585,0.2306,0,0.2837
6,2,8,3,39124,8679,87145,14,3,430,39.9,0.2218,0.0996,0,0.5154
13,1,1,1,82550,74391,156301,17,2,230,17.3,0.9012,0.4759,3,0.7318
4,0,5,1,73513,27706,181959,14,3,221,35.5,0.3769,0.1523,0,0.5774
13,1,7,0,43031,31178,56002,16,20,132,11.9,0.7245,0.5567,1,0.4174
12,3,11,4,81255,42842,144122,16,14,456,12.9,0.5273,0.2973,1,0.5319
22,5,8,4,47114,5568,86500,14,15,169,36.8,0.1182,0.0644,0,0.403
23,5,8,0,79184,20862,132874,9,27,241,19.6,0.2635,0.157,0,0.3353
16,5,2,0,91366,63714,72720,19,3,296,34.4,0.6973,0.8762,1,0.4209
18,0,2,1,44878,14247,34947,13,29,104,39.8,0.3175,0.4077,0,0.4118
15,4,10,1,16389,9348,13315,10,21,416,21.2,0.5704,0.7021,1,0.5055
2,2,2,0,9246,1311,13796,11,5,268,16.6,0.1418,0.095,0,0.3608
14,5,3,1,38734,28458,39480,8,19,394,10.8,0.7347,0.7208,1,0.6012
7,5,5,0,80758,31052,182743,7,16,21,16.4,0.3845,0.1699,0,0.4618
23,6,12,4,72069,38836,46464,12,29,450,17.7,0.5389,0.8358,1,0.4585
13,0,11,0,29706,14743,52119,8,6,201,35.8,0.4963,0.2829,0,0.6455
2,6,1,4,90448,53203,99390,12,2,351,18.6,0.5882,0.5353,1,0.685
0,3,2,0,39651,12252,72165,11,28,25,5.3,0.309,0.1698,0,0.32
13,6,4,2,90892,52721,165730,4,18,226,14.5,0.58,0.3181,1,0.646
0,3,8,0,73344,35169,169734,7,7,139,38.4,0.4795,0.2072,0,0.5434
2,3,4,2,88894,37065,87861,12,27,40,13.2,0.417,0.4219,0,0.5702
11,1,8,0,39598,23647,61785,17,25,73,25.9,0.5972,0.3827,1,0.3464
9,2,2,4,33387,17647,33623,1,16,489,16.1,0.5286,0.5248,1,0.6141
12,1,12,4,23558,19498,23055,12,13,494,5.6,0.8277,0.8457,2,0.6022
16,5,1,1,10062,3046,15069,17,27,409,33.9,0.3027,0.2021,0,0.3149
11,3,10,2,53663,34098,112628,19,23,38,13.4,0.6354,0.3027,1,0.5275
20,5,6,0,57035,18747,121054,4,23,292,19.9,0.3287,0.1549,0,0.3443
6,2,11,3,44891,30251,33143,18,29,248,39.2,0.6739,0.9127,1,0.4675
10,1,3,1,4894,2897,9127,9,27,169,33.5,0.5919,0.3174,1,0.6076
18,6,9,0,96683,32817,61862,5,28,194,34.1,0.3394,0.5305,0,0.3416
0,1,1,0,67942,55017,54482,8,27,302,18.9,0.8098,1.0098,2,0.4233
17,0,11,1,31756,23306,17790,19,8,327,18.6,0.7339,1.3101,1,0.5588
16,1,7,2,94321,77152,95618,3,3,41,5.7,0.818,0.8069,2,0.8678
10,3,3,0,60218,49209,140759,18,24,206,27.8,0.8172,0.3496,2,0.4702
8,0,5,1,32309,28911,70584,9,7,101,23.2,0.8948,0.4096,2,0.8259
15,1,1,3,56172,22686,119851,12,2,297,23.6,0.4039,0.1893,0,0.5709
5,4,12,0,10868,6488,22433,11,10,154,33.5,0.597,0.2892,1,0.4616
9,6,6,0,26047,18554,30049,6,9,63,37.0,0.7123,0.6175,1,0.6323
3,2,11,1,91403,26807,218444,19,6,294,39.8,0.2933,0.1227,0,0.4347
3,4,11,0,7641,3432,7416,19,14,489,27.1,0.4492,0.4628,0,0.2508
23,4,4,4,74157,24488,148552,14,19,62,30.4,0.3302,0.1648,0,0.5462
8,1,10,3,59444,18753,139910,10,24,218,38.7,0.3155,0.134,0,0.4439
10,3,4,0,56983,9728,115081,9,24,9,18.4,0.1707,0.0845,0,0.3465
5,1,9,0,38915,27750,43778,13,23,220,38.3,0.7131,0.6339,1,0.3854
18,5,12,1,14053,13556,11066,16,25,60,13.9,0.9646,1.225,3,0.6473
0,3,5,0,79207,30546,74282,6,9,186,32.2,0.3856,0.4112,0,0.4901
20,5,11,1,78954,19384,63943,8,10,465,26.1,0.2455,0.3031,0,0.4383
8,6,2,0,96227,32992,180813,14,28,88,15.2,0.3429,0.1825,0,0.2755
5,1,7,1,85087,46889,147976,6,25,435,32.9,0.5511,0.3169,1,0.4508
0,5,7,2,38938,33761,22433,2,12,126,26.0,0.867,1.505,2,0.8194
9,6,2,1,61233,27703,123126,11,26,327,30.4,0.4524,0.225,0,0.4059
17,2,3,0,50405,34198,95933,9,9,37,29.8,0.6785,0.3565,1,0.597
2,3,11,0,87508,39107,143099,8,15,434,29.0,0.4469,0.2733,0,0.4044
21,6,4,0,78526,74326,107776,12,8,314,23.8,0.9465,0.6896,3,0.5363
13,2,9,4,95930,35276,65261,10,6,5,14.7,0.3677,0.5405,0,0.7033
10,1,5,0,95453,74236,100036,2,15,112,10.0,0.7777,0.7421,2,0.6018
11,0,4,4,22713,7190,18462,6,16,9,20.5,0.3166,0.3894,0,0.6713
13,2,1,0,16158,9448,25883,1,4,169,21.8,0.5847,0.365,1,0.6091
21,4,2,0,95917,53491,88368,16,19,286,6.5,0.5577,0.6053,1,0.3203
15,5,4,0,63242,20824,50030,18,11,210,25.3,0.3293,0.4162,0,0.2889
20,6,4,4,35390,10322,74200,17,11,32,9.7,0.2917,0.1391,0,0.5381
14,1,7,1,61785,11615,141548,9,12,456,24.3,0.188,0.0821,0,0.4169
18,4,9,1,5466,4152,10777,13,27,73,16.9,0.7596,0.3853,2,0.625
5,3,8,0,74456,22843,186083,17,29,125,24.2,0.3068,0.1228,0,0.2256
4,1,9,4,95982,15034,149889,3,6,153,40.0,0.1566,0.1003,0,0.6925
16,2,4,2,24456,12425,43548,10,19,200,40.0,0.5081,0.2853,1,0.607
2,3,5,0,81224,31558,155863,17,5,477,21.8,0.3885,0.2025,0,0.2919
12,0,5,0,57481,46333,83545,2,21,306,13.3,0.8061,0.5546,2,0.5371
17,2,4,0,72217,29186,81239,4,15,328,37.8,0.4041,0.3593,0,0.4417
7,1,1,1,46204,30730,44417,17,11,229,9.3,0.6651,0.6919,1,0.5795
1,1,11,0,21052,11185,16172,12,2,64,15.2,0.5313,0.6916,1,0.6688
22,3,6,0,50887,23698,30744,9,17,205,39.7,0.4657,0.7708,0,0.4607
17,6,1,4,51157,40626,84871,2,26,13,23.8,0.7941,0.4787,2,0.811
11,4,1,2,81360,61874,148139,3,15,102,15.6,0.7605,0.4177,2,0.8063
4,5,5,0,69710,66325,152344,12,13,56,5.6,0.9514,0.4354,3,0.641
21,3,6,2,25603,18679,36430,18,6,34,18.4,0.7296,0.5127,1,0.7353
17,1,11,3,66863,61847,92815,5,8,474,17.9,0.925,0.6663,3,0.7125
6,4,4,1,90219,31188,123070,18,14,310,17.7,0.3457,0.2534,0,0.4472
15,2,3,0,67094,50766,123440,2,21,121,9.1,0.7566,0.4113,2,0.5409
15,6,1,3,73702,33103,111857,10,3,249,22.3,0.4491,0.2959,0,0.6297
19,6,8,4,50029,25103,28867,13,16,51,31.1,0.5018,0.8696,1,0.6052
10,4,7,0,90202,32186,223833,8,19,293,7.7,0.3568,0.1438,0,0.3845
16,1,5,0,6363,4162,7902,9,24,204,17.3,0.6541,0.5267,1,0.4262
11,5,12,3,1356,468,3372,4,22,208,25.8,0.3451,0.1388,0,0.5583
12,1,7,2,11013,6052,26439,3,25,64,8.2,0.5495,0.2289,1,0.6839
10,2,4,1,23491,6735,50833,10,22,18,25.9,0.2867,0.1325,0,0.5363
18,3,1,1,30781,16051,26714,17,10,430,34.2,0.5215,0.6008,1,0.5418
14,0,4,1,92283,69624,89972,3,28,424,30.1,0.7545,0.7738,2,0.5982
6,1,2,2,77511,52412,184923,12,20,2,9.0,0.6762,0.2834,1,0.7099
2,2,2,1,91521,79068,193329,6,10,356,19.8,0.8639,0.409,2,0.7277
3,5,7,2,93709,23075,151931,3,24,130,20.5,0.2462,0.1519,0,0.5453
5,3,8,1,94370,65450,177949,17,28,481,29.6,0.6935,0.3678,1,0.4276
23,0,8,1,71231,45019,80078,11,13,458,25.1,0.632,0.5622,1,0.6077
10,6,3,1,85507,11431,152301,8,13,299,29.1,0.1337,0.0751,0,0.4304
6,3,8,4,35620,22333,43219,13,23,175,38.6,0.627,0.5167,1,0.5705
2,2,7,2,78028,48117,88302,13,25,21,7.9,0.6167,0.5449,1,0.5828
10,6,9,3,43940,13063,45124,4,4,453,7.4,0.2973,0.2895,0,0.592
1,4,7,1,45565,23549,53523,6,26,5,27.7,0.5168,0.44,1,0.6522
8,1,4,0,8143,3672,13608,19,8,431,16.4,0.4509,0.2698,0,0.2336
11,3,12,4,67828,7131,54100,13,28,453,31.0,0.1051,0.1318,0,0.2565
13,0,1,0,37707,17285,81438,3,19,152,23.7,0.4584,0.2122,0,0.4456
22,2,5,1,82500,31779,179310,1,10,386,6.5,0.3852,0.1772,0,0.6275
2,0,12,4,29374,28498,42524,4,18,27,37.0,0.9702,0.6702,3,0.8243
8,1,3,3,48353,13540,82336,19,28,139,12.6,0.28,0.1644,0,0.3815
17,2,2,3,97283,54583,226391,11,23,309,21.0,0.5611,0.2411,1,0.5271
14,0,9,3,17647,12106,20709,2,15,413,36.9,0.686,0.5846,1,0.6679
5,0,11,4,39594,27235,97225,8,10,312,5.3,0.6879,0.2801,1,0.6928
9,4,12,4,57565,15488,79612,11,21,241,17.4,0.2691,0.1945,0,0.4244
18,4,5,2,4140,2266,9668,1,17,348,33.5,0.5473,0.2344,1,0.5811
23,6,3,1,77494,60982,105468,6,21,54,18.4,0.7869,0.5782,2,0.7483
8,4,4,0,1062,740,1845,11,14,227,29.2,0.6968,0.4011,1,0.5467
0,6,10,0,42122,8779,39251,15,2,93,24.5,0.2084,0.2237,0,0.4578
3,2,4,4,53495,6448,70099,7,17,202,23.0,0.1205,0.092,0,0.5483
13,3,10,1,83243,17990,130839,13,15,144,31.2,0.2161,0.1375,0,0.4843
16,0,10,0,61634,24070,108076,15,23,227,5.4,0.3905,0.2227,0,0.2832
3,3,7,0,94675,57448,49882,17,11,302,19.5,0.6068,1.1517,1,0.3539
23,4,6,1,11761,4821,26194,14,11,122,8.4,0.4099,0.184,0,0.5461
3,2,4,3,64590,26172,144696,9,22,431,7.5,0.4052,0.1809,0,0.4395
0,3,3,4,78983,12115,133082,11,6,305,5.3,0.1534,0.091,0,0.5291
7,6,1,2,76651,22972,116351,7,21,190,11.1,0.2997,0.1974,0,0.5052
12,0,2,3,20751,11174,50603,2,8,151,13.3,0.5385,0.2208,1,0.7437
5,0,9,0,72319,28346,48232,6,25,168,22.9,0.392,0.5877,0,0.3979
19,4,8,3,28666,8366,52515,2,3,482,16.8,0.2918,0.1593,0,0.6068
7,0,1,4,48895,38061,110485,10,19,446,31.0,0.7784,0.3445,2,0.6082
10,6,7,0,44871,22014,96779,9,17,455,14.6,0.4906,0.2275,0,0.3041
14,4,12,0,63888,6836,159182,18,11,416,16.0,0.107,0.0429,0,0.2077
11,2,7,1,4388,1521,7494,19,11,48,25.4,0.3466,0.203,0,0.502
22,2,12,0,53160,14863,91416,4,23,169,37.3,0.2796,0.1626,0,0.3456
14,2,4,1,14900,4436,14287,8,8,124,28.4,0.2977,0.3105,0,0.5763
5,2,4,0,59238,37405,83806,1,5,423,8.4,0.6314,0.4463,1,0.5963
6,0,3,1,97148,11712,159076,19,18,151,31.0,0.1206,0.0736,0,0.4034
1,4,5,0,47376,33311,40100,14,8,235,7.7,0.7031,0.8307,1,0.5155
21,2,8,1,41984,13772,88936,11,13,197,39.1,0.328,0.1549,0,0.5374
23,3,3,0,63059,8791,146852,2,10,77,11.2,0.1394,0.0599,0,0.4381
8,2,9,3,44050,24997,34818,11,7,481,37.5,0.5675,0.7179,1,0.5814
20,3,4,0,97730,33856,180661,12,14,415,27.1,0.3464,0.1874,0,0.351
8,4,5,2,60592,35490,76134,5,11,48,16.2,0.5857,0.4662,1,0.6563
18,5,8,0,32326,20132,33113,6,22,108,13.2,0.6228,0.608,1,0.5579
14,4,10,0,94223,90866,218651,1,25,57,25.5,0.9644,0.4156,3,0.674
11,0,6,2,69355,35174,70580,16,3,87,20.3,0.5072,0.4984,1,0.6527
19,6,12,4,45950,8699,100103,5,24,467,36.3,0.1893,0.0869,0,0.4389
16,2,10,4,25805,22139,57902,2,17,422,27.3,0.8579,0.3824,2,0.7178
9,5,6,0,45464,37574,59119,4,13,287,38.8,0.8265,0.6356,2,0.5435
13,1,2,0,25730,15061,47436,12,21,379,16.2,0.5853,0.3175,1,0.3444
20,3,6,3,78979,38619,86392,3,2,329,10.8,0.489,0.447,0,0.7133
6,4,3,0,21941,7969,35607,10,12,112,28.3,0.3632,0.2238,0,0.4505
9,6,9,0,77255,18606,113920,17,23,418,6.4,0.2408,0.1633,0,0.2118
14,0,6,1,70389,41394,84808,12,2,401,8.9,0.5881,0.4881,1,0.5876
9,3,4,0,28332,20395,33263,13,18,232,34.7,0.7199,0.6131,1,0.4738
22,0,3,3,61872,36200,97480,14,17,254,27.7,0.5851,0.3714,1,0.5455
5,3,7,0,89074,54411,195800,16,14,356,15.5,0.6109,0.2779,1,0.3503
21,5,7,3,35441,19984,61108,1,5,389,27.8,0.5639,0.327,1,0.663
15,1,9,2,73010,1129,61623,18,29,112,26.9,0.0155,0.0183,0,0.2443
13,5,9,0,83208,31101,141599,15,11,445,17.1,0.3738,0.2196,0,0.2781
18,4,7,3,2642,2193,6228,16,22,302,17.6,0.8301,0.3521,2,0.5165
5,1,7,3,54205,19279,126007,12,29,215,33.9,0.3557,0.153,0,0.4195
10,1,7,0,92736,58952,182300,4,2,360,9.9,0.6357,0.3234,1,0.5514
11,4,2,2,49941,17554,74734,1,12,21,28.4,0.3515,0.2349,0,0.7264
17,2,5,4,13731,4963,13957,16,24,102,39.8,0.3614,0.3556,0,0.4536
9,1,6,1,47274,33371,102708,16,26,238,34.6,0.7059,0.3249,1,0.5358
6,4,7,0,83359,27328,45746,5,15,25,31.4,0.3278,0.5974,0,0.468
2,2,3,4,4311,2128,7179,6,22,265,22.0,0.4936,0.2964,0,0.5729
0,6,11,0,55152,19014,95799,10,20,496,35.2,0.3448,0.1985,0,0.2507
5,6,9,0,38386,10870,95076,11,10,419,12.2,0.2832,0.1143,0,0.3627
18,1,4,1,80593,22991,131214,3,8,267,14.4,0.2853,0.1752,0,0.6071
15,1,7,0,77878,65027,90935,1,12,296,29.4,0.835,0.7151,2,0.6757
18,5,7,1,37024,16066,47375,18,3,198,25.6,0.4339,0.3391,0,0.493
1,6,4,0,79733,72241,125122,7,2,450,7.3,0.906,0.5774,3,0.5912
4,4,2,1,97573,68439,169146,16,21,227,28.1,0.7014,0.4046,1,0.5863
22,4,5,0,45893,5830,75219,4,8,283,24.8,0.127,0.0775,0,0.4207
9,3,12,2,79127,39377,172441,3,6,317,24.4,0.4976,0.2284,0,0.7091
11,0,12,0,64255,14004,145403,12,3,25,14.6,0.2179,0.0963,0,0.4458
14,4,11,0,90223,50813,187163,13,8,297,18.1,0.5632,0.2715,1,0.4382
20,0,6,1,720,435,1798,8,29,206,11.3,0.6042,0.2419,1,0.4763
13,1,7,0,62593,41225,130112,7,4,340,16.9,0.6586,0.3168,1,0.6031
14,6,8,1,74812,39472,133837,10,23,51,35.2,0.5276,0.2949,1,0.5866
12,5,5,0,300,107,686,17,12,11,23.6,0.3567,0.156,0,0.4625
14,6,9,3,24759,2637,31479,12,8,163,17.7,0.1065,0.0838,0,0.5201
16,6,12,4,34593,26102,44813,11,4,343,10.4,0.7545,0.5825,2,0.6763
2,0,4,2,52945,35188,67916,17,11,6,25.9,0.6646,0.5181,1,0.6607
5,0,11,0,65168,35536,152075,2,9,3,17.0,0.5453,0.2337,1,0.6024
5,5,4,0,23233,12224,45214,2,13,181,19.0,0.5261,0.2704,1,0.5543
3,6,8,1,6671,3387,6075,17,8,314,32.5,0.5077,0.5575,1,0.5352
4,5,4,1,33705,8963,29940,16,28,301,7.5,0.2659,0.2994,0,0.3543
5,6,3,3,2260,1305,1757,14,9,477,21.7,0.5774,0.7427,1,0.5324
17,0,4,0,35322,16262,31153,1,16,271,26.0,0.4604,0.522,0,0.4765
14,6,12,1,75165,18031,100435,3,23,357,31.0,0.2399,0.1795,0,0.5049
13,1,10,0,53520,17729,46446,5,2,479,5.8,0.3313,0.3817,0,0.4238
9,3,1,0,51543,49764,39271,16,29,369,14.0,0.9655,1.2672,3,0.3637
19,3,4,0,49850,25733,43040,2,12,10,27.7,0.5162,0.5979,1,0.6404
12,2,3,2,31079,15313,53586,7,25,400,9.0,0.4927,0.2858,0,0.4314
18,1,9,0,9697,8089,12811,7,22,454,23.3,0.8342,0.6314,2,0.4553
6,0,4,3,56942,23542,78935,18,19,225,12.4,0.4134,0.2982,0,0.4673
0,3,10,4,92679,66969,113517,5,28,444,36.2,0.7226,0.5899,1,0.5353
4,2,2,0,87450,32624,72127,4,4,464,33.7,0.3731,0.4523,0,0.4498
17,3,12,0,97484,87106,242371,13,19,2,22.1,0.8935,0.3594,2,0.5885
1,3,7,0,72236,40608,78987,6,22,324,11.6,0.5622,0.5141,1,0.4244
22,4,12,3,60899,37056,102992,3,6,224,14.6,0.6085,0.3598,1,0.7685
19,3,4,0,3595,1195,4109,17,28,74,22.9,0.3324,0.2908,0,0.2582
11,5,11,0,82414,38709,126178,8,28,458,26.6,0.4697,0.3068,0,0.2802
14,1,6,1,54434,22875,120346,2,24,94,11.8,0.4202,0.1901,0,0.5848
19,3,6,0,77979,19074,164429,6,23,247,12.3,0.2446,0.116,0,0.3476
4,3,2,1,85678,52129,114852,12,8,281,19.2,0.6084,0.4539,1,0.5985
3,5,9,0,71680,8630,96762,16,13,264,24.0,0.1204,0.0892,0,0.2447
20,6,12,3,80301,34511,133629,12,27,150,27.5,0.4298,0.2583,0,0.5082
11,0,1,0,68190,55339,52419,18,16,495,11.5,0.8115,1.0557,2,0.3638
4,4,11,0,60293,9931,127182,2,11,375,39.9,0.1647,0.0781,0,0.372
23,6,12,1,21354,8649,18225,7,22,356,28.9,0.405,0.4746,0,0.4697
14,6,2,1,53983,5168,68415,16,2,470,37.8,0.0957,0.0755,0,0.392
21,2,3,1,88785,69555,60182,10,2,31,31.6,0.7834,1.1557,2,0.8914
23,0,6,3,22258,6717,42525,18,5,461,6.2,0.3018,0.158,0,0.4652
2,1,8,0,16979,13989,30622,14,15,439,19.5,0.8239,0.4568,2,0.4342
3,0,6,0,7660,6067,10047,16,10,97,19.6,0.792,0.6039,2,0.5425
21,0,7,0,92186,43306,206140,4,6,265,33.9,0.4698,0.2101,0,0.5366
6,3,11,3,328,282,714,3,20,131,12.1,0.8598,0.395,2,0.8167
12,1,12,3,22145,20188,14641,1,23,232,21.4,0.9116,1.3789,3,0.7059
23,0,4,1,74439,60869,132245,6,24,422,13.2,0.8177,0.4603,2,0.624
14,4,10,3,33280,15136,33561,2,21,299,26.4,0.4548,0.451,0,0.5658
20,3,1,1,92422,83751,100606,3,6,336,38.4,0.9062,0.8325,3,0.8686
5,1,1,0,63826,15069,72943,9,20,360,32.7,0.2361,0.2066,0,0.2398
11,3,12,2,376,67,540,16,19,93,10.8,0.1782,0.1241,0,0.4332
20,2,4,3,4501,2532,7556,18,4,499,31.0,0.5625,0.3351,1,0.4459
10,0,8,1,88811,59021,88756,5,23,69,40.0,0.6646,0.665,1,0.7138
18,0,8,1,19082,15416,46613,1,23,115,7.4,0.8079,0.3307,2,0.7377
16,3,8,3,34792,26852,78153,14,21,292,30.7,0.7718,0.3436,2,0.5493
13,6,8,2,76172,30006,83448,6,17,324,22.4,0.3939,0.3596,0,0.5435
7,4,9,0,96132,50993,111580,3,19,380,36.3,0.5304,0.457,1,0.4066
21,0,1,0,47662,33870,56976,15,15,18,12.6,0.7106,0.5945,1,0.5228
19,4,7,0,22317,11949,21527,7,27,25,19.5,0.5354,0.5551,1,0.4717
14,4,6,4,5093,1620,9604,1,11,436,18.8,0.3181,0.1687,0,0.5294
15,4,1,1,40419,17472,77136,19,17,474,39.2,0.4323,0.2265,0,0.4377
23,3,5,2,72663,42533,103451,17,7,124,36.7,0.5853,0.4111,1,0.5772
23,4,1,3,28905,14945,58172,17,19,182,34.8,0.517,0.2569,1,0.5028
17,2,7,3,78595,30390,172741,8,2,419,20.6,0.3867,0.1759,0,0.5647
21,2,12,0,14363,2706,19774,14,17,420,24.8,0.1884,0.1368,0,0.2178
11,3,7,0,10314,4347,7186,9,8,198,38.5,0.4215,0.6049,0,0.5077
14,1,2,2,82961,51502,87284,19,26,435,9.8,0.6208,0.5901,1,0.3745
3,4,9,1,41496,20783,24884,4,8,306,33.5,0.5008,0.8352,1,0.628
7,0,2,2,39124,13459,78983,1,27,316,18.3,0.344,0.1704,0,0.5419
8,1,2,4,88091,70638,194654,5,21,103,33.3,0.8019,0.3629,2,0.7135
17,6,11,1,99907,48049,141416,12,3,155,10.1,0.4809,0.3398,0,0.6156
16,6,12,1,39066,25883,64206,19,2,17,28.7,0.6625,0.4031,1,0.6793
11,3,8,0,68411,58196,63121,15,16,120,37.8,0.8507,0.922,2,0.496
3,1,10,4,59360,14635,55523,2,10,147,27.2,0.2465,0.2636,0,0.6259
4,3,10,0,72457,17827,177257,2,23,476,32.3,0.246,0.1006,0,0.302
10,3,2,0,35853,11623,56695,14,17,283,33.9,0.3242,0.205,0,0.3198
19,1,11,0,56705,41628,102036,13,6,373,39.2,0.7341,0.408,1,0.5336
12,1,11,2,94255,31441,55860,1,20,126,7.1,0.3336,0.5629,0,0.6231
20,4,3,0,78651,22994,56522,7,25,264,5.1,0.2924,0.4068,0,0.3178
20,4,5,1,73610,50395,159612,18,12,402,25.4,0.6846,0.3157,1,0.5221
6,1,4,1,8704,6801,7969,3,10,92,34.6,0.7814,0.8534,2,0.7784
21,3,2,0,59822,53135,115417,11,5,199,18.2,0.8882,0.4604,2,0.625
10,2,11,0,93547,65980,158598,6,13,173,11.6,0.7053,0.416,1,0.5831
23,1,9,4,78274,64107,122443,5,29,338,36.3,0.819,0.5236,2,0.5461
19,0,3,4,36542,13761,20337,5,15,5,38.7,0.3766,0.6766,0,0.7089
14,2,11,3,34955,8225,41318,1,26,409,10.2,0.2353,0.1991,0,0.4737
12,6,8,1,26400,24809,26609,1,2,297,25.8,0.9397,0.9324,3,0.8601
