disaster_type,people_count,children_count,elderly_count,injured_count,critical_count,time_elapsed_min,weather_severity,location_accessibility,flood_risk_score,landslide_risk_score,available_teams,nearest_team_dist_km,priority_score,priority_class
1,3,0,0,1,0,6.4,1,3,0.751,0.3306,13,23.01,0.3497,0
1,49,2,5,7,1,105.2,1,0,0.1039,0.7219,2,0.61,0.4524,1
3,14,0,5,7,0,55.8,1,3,0.7448,0.2993,15,5.55,0.3838,1
5,75,0,8,43,28,33.9,0,2,0.9484,0.9783,1,0.98,0.56,1
4,181,3,65,95,47,24.9,2,2,0.014,0.3621,8,4.37,0.7876,2
2,144,18,13,82,22,1.3,1,1,0.8362,0.1336,15,47.04,0.7468,2
3,64,8,11,27,1,37.3,2,0,0.0427,0.8628,10,13.16,0.4855,1
7,10,0,2,3,0,8.1,1,1,0.1338,0.536,2,0.13,0.2181,0
4,75,5,13,6,0,4.8,2,0,0.0351,0.2861,17,6.1,0.4204,1
6,84,42,21,21,12,11.7,1,3,0.5855,0.8556,12,5.93,0.6338,2
7,171,35,71,77,15,33.4,1,3,0.6973,0.5823,12,1.65,0.7388,2
0,34,20,4,3,0,7.7,2,0,0.8069,0.7726,17,9.18,0.4015,1
0,177,42,63,54,17,19.0,3,2,0.3524,0.1963,15,2.04,0.8055,3
0,147,44,20,46,8,20.4,1,3,0.6124,0.823,4,18.04,0.7505,2
5,47,26,10,7,0,3.0,1,3,0.0066,0.546,0,11.34,0.5067,1
5,157,10,30,72,23,105.8,0,2,0.1891,0.9571,16,19.14,0.815,3
5,1,0,0,0,0,16.3,3,2,0.3237,0.5442,5,4.72,0.3272,0
4,130,15,7,79,49,31.7,0,2,0.5074,0.9913,3,7.99,0.696,2
3,64,5,4,33,0,37.1,2,1,0.7309,0.4297,16,2.3,0.4852,1
1,193,11,88,58,29,75.6,3,0,0.8375,0.8558,13,20.13,0.8217,3
6,179,64,13,91,26,22.1,1,0,0.1452,0.5082,18,18.2,0.686,2
6,152,19,4,54,7,6.9,0,0,0.3956,0.2566,12,6.28,0.4468,1
6,9,1,2,6,0,0.7,1,2,0.3611,0.6271,11,24.32,0.234,0
4,55,0,3,29,8,43.7,2,0,0.2789,0.9427,18,15.06,0.43,1
4,135,27,37,102,10,14.3,2,1,0.6534,0.2393,12,14.08,0.6707,2
1,31,23,0,9,1,0.5,2,2,0.4441,0.0802,14,0.3,0.4528,1
5,157,28,6,12,4,99.0,0,2,0.7755,0.7346,19,2.97,0.661,2
4,165,53,42,4,0,26.6,1,0,0.396,0.5027,13,15.68,0.5967,1
3,25,4,14,13,2,92.8,0,1,0.2356,0.5197,10,11.46,0.4737,1
0,92,16,15,18,0,27.0,0,1,0.9992,0.6253,4,10.34,0.556,1
0,123,22,36,54,26,10.0,3,2,0.6688,0.0471,1,2.39,0.7941,2
2,62,8,12,19,10,30.5,1,1,0.0653,0.5804,17,2.14,0.5946,1
4,163,41,9,70,10,11.7,0,3,0.5965,0.0857,19,15.87,0.6734,2
7,175,20,54,105,29,37.3,1,1,0.4769,0.0462,2,4.61,0.7189,2
3,172,73,67,50,10,66.4,1,1,0.4046,0.5165,15,10.54,0.7176,2
6,21,0,3,8,1,44.4,2,2,0.9285,0.5675,7,17.45,0.3172,0
0,66,2,14,3,0,19.9,1,0,0.9423,0.834,18,0.73,0.4493,1
1,55,15,25,17,0,40.8,0,2,0.2168,0.4224,0,3.83,0.5875,1
2,167,20,82,73,11,26.3,0,0,0.6624,0.753,10,7.85,0.7143,2
0,148,44,7,79,10,30.6,3,3,0.6738,0.6842,3,27.9,0.8354,3
2,175,37,30,29,7,25.8,0,3,0.762,0.3645,14,11.33,0.761,2
4,125,1,5,18,2,26.7,1,0,0.1247,0.1186,10,6.44,0.4454,1
3,24,3,7,15,1,18.7,3,0,0.6628,0.7496,12,3.05,0.3895,1
4,35,26,17,23,2,10.8,2,1,0.1944,0.3103,7,1.97,0.4947,1
1,117,3,9,41,0,7.3,0,0,0.8491,0.5809,7,10.11,0.4663,1
6,15,4,4,7,0,40.4,2,2,0.9317,0.8281,5,0.45,0.3261,0
5,120,10,8,80,10,17.8,0,0,0.5266,0.642,0,12.93,0.5252,1
6,55,18,10,30,10,8.0,3,0,0.5578,0.0357,13,1.59,0.4768,1
2,111,7,31,23,0,26.9,1,2,0.8991,0.6922,8,5.58,0.6744,2
4,148,16,4,36,13,53.6,0,2,0.7811,0.3984,16,55.25,0.6603,2
7,114,20,19,87,15,11.5,3,2,0.4214,0.0212,3,3.89,0.7377,2
6,127,48,7,65,17,24.8,1,0,0.1719,0.4164,7,0.45,0.6758,2
5,68,33,34,43,12,78.7,0,3,0.2277,0.0161,4,10.13,0.6875,2
1,129,12,37,44,7,88.4,2,3,0.6695,0.1654,3,24.73,0.8232,3
4,44,3,1,32,5,17.4,2,2,0.2176,0.2969,12,3.2,0.4575,1
3,94,0,1,36,4,18.5,0,2,0.5332,0.5765,15,2.14,0.4928,1
7,23,6,7,2,0,8.5,0,3,0.4831,0.7905,17,1.72,0.3087,0
4,184,34,7,24,0,24.9,1,2,0.3551,0.1293,13,4.77,0.6264,2
1,19,0,0,4,0,4.7,2,2,0.8601,0.2265,7,19.36,0.3997,1
4,187,5,14,43,3,73.1,0,1,0.9149,0.4265,11,20.82,0.5473,1
7,174,28,10,87,5,8.4,3,1,0.8835,0.0833,10,1.09,0.6021,2
5,41,24,5,26,11,16.0,1,2,0.629,0.3009,5,8.27,0.4826,1
4,44,24,4,28,6,43.9,3,1,0.1185,0.5232,3,10.22,0.5662,1
2,196,15,9,96,13,33.2,2,0,0.0406,0.4864,3,0.89,0.7441,2
7,79,53,28,16,0,3.4,1,3,0.6678,0.0114,9,17.98,0.5651,1
1,106,1,13,41,12,13.3,0,0,0.9364,0.5405,8,1.3,0.5608,1
7,112,2,13,38,20,7.9,3,0,0.4309,0.74,14,0.66,0.6414,2
6,151,10,28,5,1,25.7,2,1,0.7013,0.6869,10,22.17,0.6183,2
1,165,63,46,41,7,24.6,2,1,0.2016,0.9628,0,0.07,0.7464,2
3,68,0,2,19,5,0.1,1,1,0.2939,0.8571,15,24.46,0.4075,1
4,100,3,11,51,5,31.6,0,1,0.923,0.6964,5,2.95,0.5692,1
6,130,1,3,22,9,1.4,1,2,0.9578,0.1423,11,0.08,0.4941,1
6,96,16,18,22,5,11.3,0,1,0.9001,0.0955,11,1.33,0.521,1
6,192,105,0,62,1,23.9,3,3,0.023,0.9888,1,3.71,0.5977,1
7,18,6,2,14,10,27.1,0,3,0.8998,0.4636,8,10.55,0.3649,1
5,173,52,25,47,15,3.5,1,3,0.994,0.8144,5,25.71,0.7253,2
7,75,46,11,18,1,11.2,0,1,0.1247,0.8081,19,16.39,0.4604,1
1,8,1,3,2,0,11.1,0,1,0.1706,0.6553,13,6.82,0.2329,0
4,189,8,26,27,0,4.5,2,0,0.1012,0.0587,16,19.82,0.5887,1
1,66,7,13,16,0,8.0,2,0,0.6096,0.3675,14,2.82,0.5046,1
5,160,24,11,9,4,10.0,2,1,0.4644,0.1251,3,0.07,0.5831,1
4,13,4,3,5,1,3.8,1,0,0.8961,0.2307,0,13.27,0.273,0
5,39,0,5,4,1,17.2,2,1,0.6902,0.5102,15,26.35,0.3749,1
4,155,34,87,61,37,63.5,2,0,0.0782,0.4373,14,21.89,0.7393,2
7,187,63,64,49,33,6.0,1,3,0.6402,0.2805,5,9.25,0.7846,2
0,110,11,33,21,4,31.6,2,0,0.049,0.4302,17,11.37,0.5941,1
7,32,7,6,14,10,11.1,2,0,0.8381,0.7799,9,13.42,0.4295,1
1,68,5,0,25,7,2.6,2,2,0.7864,0.8512,16,6.01,0.5423,1
4,196,37,7,106,50,29.6,1,1,0.1442,0.7166,15,13.84,0.7403,2
3,93,4,4,28,4,7.9,1,2,0.7135,0.2242,14,6.44,0.5286,1
1,179,36,13,91,37,0.9,3,1,0.2994,0.7087,3,2.84,0.8015,3
2,40,3,18,6,0,236.4,0,2,0.2069,0.2896,4,2.28,0.5709,1
7,124,23,11,60,16,27.0,2,0,0.1713,0.8574,8,0.64,0.6198,2
2,123,16,17,55,11,13.4,0,1,0.3625,0.4756,12,1.16,0.7139,2
5,60,8,2,22,0,15.0,0,1,0.863,0.0343,19,41.11,0.359,1
1,154,19,42,82,28,29.5,0,2,0.0341,0.6835,2,8.76,0.8421,3
1,21,4,3,7,0,76.5,1,1,0.2466,0.1824,11,26.04,0.4522,1
0,6,0,0,2,0,1.5,0,0,0.9745,0.5334,19,5.27,0.1683,0
6,119,10,26,62,0,14.8,0,1,0.5104,0.5186,1,0.76,0.4945,1
3,191,69,48,56,14,0.5,2,1,0.2955,0.3677,14,1.27,0.7435,2
2,77,4,0,48,2,61.3,0,1,0.5393,0.5295,2,0.14,0.5159,1
7,164,0,15,77,20,28.5,0,0,0.5639,0.551,0,1.9,0.5498,1
3,116,33,48,28,10,52.9,2,0,0.2314,0.0394,1,27.8,0.7815,2
5,40,3,4,14,1,16.3,3,1,0.8038,0.7647,0,9.59,0.3858,1
2,62,4,11,56,4,47.4,1,0,0.773,0.7749,9,14.68,0.5151,1
7,161,10,83,59,15,29.2,3,3,0.521,0.618,9,7.71,0.8193,3
2,41,2,11,5,0,12.4,2,2,0.8846,0.731,6,27.78,0.4942,1
3,152,21,3,81,26,11.3,1,1,0.5166,0.1486,13,4.29,0.7156,2
5,185,66,0,34,5,14.8,0,2,0.1636,0.9139,5,3.47,0.6365,2
5,107,37,0,12,2,27.6,2,1,0.4477,0.4847,13,2.39,0.536,1
5,27,0,9,10,0,91.2,0,0,0.6112,0.396,14,5.11,0.297,0
2,138,13,33,13,1,28.9,0,2,0.9377,0.9098,14,12.56,0.6934,2
4,161,36,23,79,5,5.3,1,0,0.4495,0.0681,13,39.11,0.512,1
2,76,20,4,28,4,9.7,0,0,0.3777,0.957,6,1.87,0.4989,1
5,26,3,3,10,2,2.0,1,3,0.7195,0.2195,8,2.47,0.3049,0
7,22,1,0,15,3,27.0,1,1,0.2643,0.5917,9,5.47,0.2517,0
7,55,8,4,16,9,99.6,1,3,0.3343,0.2126,0,14.79,0.5024,1
1,126,1,11,23,1,101.7,0,3,0.4349,0.3475,12,2.97,0.6037,2
5,60,4,11,26,1,8.8,0,0,0.0873,0.1488,16,0.07,0.3396,0
1,188,28,36,158,57,46.7,2,1,0.9121,0.3995,11,1.63,0.8486,3
4,139,26,13,61,17,4.4,0,2,0.6408,0.561,10,34.0,0.739,2
2,88,5,14,36,5,2.3,1,1,0.4052,0.7718,14,33.53,0.6221,2
7,2,0,0,0,0,65.3,0,2,0.0576,0.5012,17,24.82,0.2708,0
1,15,5,3,9,0,1.0,0,3,0.8816,0.9957,14,20.04,0.452,1
2,170,27,6,35,14,6.6,0,0,0.5435,0.4849,1,22.69,0.6668,2
4,144,31,49,12,0,40.3,1,3,0.1846,0.7766,5,8.46,0.6406,2
0,174,21,10,49,0,33.0,2,0,0.7547,0.2739,2,0.02,0.5246,1
3,43,1,4,28,15,11.4,2,0,0.186,0.6875,11,2.09,0.4365,1
7,163,10,109,61,11,18.2,3,2,0.6076,0.4557,1,9.2,0.6745,2
0,75,0,21,40,6,31.3,3,0,0.0967,0.7556,4,2.15,0.6555,2
7,38,7,0,21,0,35.2,0,2,0.8343,0.1643,19,1.46,0.3408,0
5,166,26,10,98,22,16.1,0,1,0.0018,0.1486,1,14.89,0.6106,2
3,141,12,6,31,5,4.5,0,2,0.6261,0.2608,2,10.83,0.5295,1
7,140,2,13,2,0,66.3,0,1,0.8208,0.7554,4,12.46,0.5114,1
5,32,2,0,26,3,10.0,0,0,0.7255,0.5294,16,9.49,0.2133,0
4,102,16,5,31,1,8.8,3,1,0.5934,0.073,7,5.61,0.5918,1
6,55,10,13,23,2,12.9,1,3,0.182,0.6208,11,1.56,0.4174,1
0,46,4,7,23,6,3.9,2,2,0.2428,0.1529,2,0.78,0.4479,1
7,17,2,1,13,0,30.5,2,0,0.2792,0.4039,2,12.45,0.2961,0
2,137,39,33,33,24,36.3,1,2,0.6933,0.7685,0,13.35,0.8435,3
0,70,25,18,21,6,65.6,1,2,0.5444,0.6979,15,17.07,0.6718,2
2,132,40,58,23,1,7.4,1,0,0.1932,0.2515,18,22.86,0.6288,2
0,8,2,4,2,0,5.7,1,1,0.9998,0.6926,8,0.12,0.306,0
3,146,2,68,25,8,14.5,0,2,0.7644,0.3629,16,5.5,0.6644,2
7,45,18,13,9,2,14.6,1,2,0.0949,0.4928,11,44.42,0.4813,1
7,96,19,6,18,5,1.0,1,0,0.8186,0.7839,1,0.55,0.5417,1
1,23,1,1,4,0,25.7,2,0,0.7802,0.3889,15,1.99,0.275,0
6,188,71,40,156,11,11.6,0,1,0.8156,0.7694,3,1.52,0.6296,2
5,113,0,0,97,0,10.2,1,2,0.9253,0.0007,2,2.32,0.4306,1
0,133,35,6,63,22,48.1,0,1,0.3108,0.2175,14,21.26,0.73,2
5,177,15,5,65,25,1.9,1,0,0.3272,0.5068,11,13.82,0.6087,2
0,71,2,8,20,0,156.3,2,2,0.7144,0.3339,4,0.18,0.5828,1
2,145,23,23,52,25,14.1,0,1,0.8513,0.699,10,2.78,0.7954,2
0,11,1,1,6,0,11.9,3,3,0.3394,0.694,3,22.04,0.415,1
2,45,4,4,24,0,4.0,0,1,0.6413,0.3468,14,3.59,0.431,1
4,74,19,11,38,14,41.2,0,1,0.0447,0.6945,4,12.19,0.6253,2
2,193,1,0,110,51,60.6,0,2,0.1879,0.1775,6,6.43,0.712,2
1,197,84,44,131,11,60.6,1,0,0.9034,0.5837,2,4.19,0.7253,2
1,141,21,15,88,13,3.5,2,0,0.8144,0.7201,3,6.53,0.7131,2
0,53,17,16,9,0,70.0,0,1,0.9812,0.9109,6,8.07,0.5634,1
4,107,42,8,84,18,73.2,2,0,0.732,0.2609,11,4.98,0.78,2
6,155,74,67,63,23,16.5,2,0,0.1047,0.9735,14,10.45,0.7567,2
3,67,9,2,33,0,92.4,0,0,0.7164,0.365,0,35.28,0.492,1
3,53,4,40,8,6,50.4,1,1,0.2767,0.5835,11,30.54,0.5782,1
1,174,12,5,56,14,10.4,1,1,0.6867,0.7947,5,1.05,0.6869,2
3,17,0,5,10,0,152.6,2,2,0.3664,0.1197,12,14.6,0.4654,1
0,40,22,4,23,3,21.5,2,3,0.1905,0.701,5,6.28,0.5307,1
3,57,7,8,21,2,28.2,2,1,0.2253,0.3323,16,7.14,0.4689,1
4,70,31,14,28,2,68.0,0,2,0.1787,0.2636,18,6.15,0.6127,2
0,159,4,45,123,1,14.2,2,2,0.2155,0.9532,9,13.13,0.718,2
0,71,14,8,22,2,19.7,2,2,0.3292,0.4967,11,4.1,0.627,2
6,94,44,7,82,8,56.2,2,1,0.1804,0.2758,0,6.58,0.6577,2
6,46,2,6,7,0,46.1,1,1,0.1659,0.3345,12,4.19,0.3948,1
5,59,28,5,18,11,10.5,0,0,0.7762,0.4071,5,16.93,0.5304,1
0,13,4,0,7,0,11.8,2,1,0.502,0.8932,12,15.14,0.4153,1
3,86,13,0,38,1,44.0,1,1,0.5707,0.3375,18,3.26,0.5086,1
3,78,15,33,18,0,18.8,1,1,0.7562,0.2304,17,22.03,0.5251,1
5,161,47,17,63,6,28.4,1,1,0.8253,0.6024,6,12.83,0.6409,2
5,175,53,8,70,11,40.9,1,2,0.4721,0.646,17,26.27,0.7296,2
6,68,12,13,21,0,27.6,3,3,0.5061,0.4651,5,0.78,0.5435,1
5,3,0,0,1,0,8.5,1,3,0.5236,0.7762,2,10.45,0.2554,0
1,125,36,71,21,10,7.0,0,0,0.0316,0.1732,6,24.26,0.6458,2
5,19,1,2,10,2,57.5,3,2,0.8219,0.1711,11,8.14,0.3682,1
0,179,31,22,65,13,20.0,2,1,0.8851,0.9094,2,17.63,0.7508,2
3,147,5,11,57,9,54.9,2,0,0.3914,0.2549,5,9.55,0.6088,2
4,60,24,0,13,0,23.8,0,1,0.9944,0.3827,7,26.46,0.3823,1
3,41,5,0,5,0,20.4,1,3,0.0049,0.0423,1,19.82,0.3318,0
0,92,11,17,65,39,29.2,0,0,0.8141,0.7695,16,5.0,0.6462,2
5,189,36,4,56,10,0.9,0,1,0.9527,0.548,4,4.85,0.5583,1
7,46,23,10,23,4,0.2,0,3,0.6874,0.4557,0,14.48,0.4462,1
6,194,2,9,77,7,178.3,0,0,0.2576,0.533,18,5.01,0.5288,1
1,145,50,19,63,15,14.7,1,1,0.5123,0.9687,9,14.86,0.7265,2
0,129,51,4,102,0,7.1,0,1,0.0111,0.0482,12,4.26,0.5821,1
4,146,8,27,37,2,54.8,3,0,0.9944,0.5836,13,5.08,0.6132,2
1,107,26,11,82,11,19.9,1,2,0.5697,0.3182,4,15.8,0.7489,2
5,51,9,5,4,0,65.3,0,0,0.5583,0.9709,10,4.99,0.3827,1
7,125,77,0,36,11,20.3,0,1,0.2328,0.5398,10,3.96,0.6539,2
7,159,7,7,90,40,1.5,1,0,0.9428,0.5667,10,4.3,0.5551,1
2,96,11,7,49,3,30.5,0,1,0.8606,0.1954,4,52.89,0.5687,1
1,67,14,5,49,17,56.4,1,1,0.2707,0.9514,16,0.68,0.6944,2
0,154,63,12,34,10,73.2,1,0,0.4605,0.5588,5,6.44,0.7377,2
6,44,8,0,4,0,17.6,2,3,0.6254,0.9817,16,13.23,0.4004,1
4,98,20,26,23,10,57.0,1,1,0.321,0.0094,1,5.98,0.7111,2
3,107,10,33,34,4,0.3,0,2,0.9733,0.656,6,5.02,0.6312,2
5,80,8,11,19,5,32.1,3,0,0.8501,0.8344,15,17.86,0.555,1
6,104,31,24,32,11,4.1,0,1,0.4962,0.2053,1,1.67,0.5826,1
2,131,48,5,48,2,14.4,0,1,0.627,0.5985,15,38.17,0.6217,2
7,45,7,5,14,1,34.4,1,3,0.1175,0.9658,8,8.57,0.4581,1
6,173,7,28,21,8,10.1,2,0,0.1244,0.4415,3,6.58,0.5565,1
6,87,30,7,53,0,38.9,0,1,0.1174,0.5544,2,1.97,0.5136,1
1,196,62,24,53,11,17.2,2,0,0.3158,0.6041,13,5.95,0.7252,2
5,114,15,5,78,10,111.7,3,3,0.2459,0.8175,9,2.31,0.7435,2
2,96,46,29,10,3,17.5,2,1,0.394,0.2315,15,12.35,0.6901,2
6,174,74,52,92,19,12.5,2,1,0.1546,0.5848,18,7.78,0.7115,2
1,43,4,4,5,0,12.4,0,2,0.844,0.5058,5,15.95,0.4597,1
2,171,18,24,79,17,11.4,0,1,0.0678,0.7295,8,30.37,0.7688,2
3,11,1,1,3,0,12.1,0,2,0.7681,0.2959,18,13.32,0.3316,0
4,95,2,26,44,7,6.3,2,0,0.0945,0.3017,16,7.01,0.581,1
4,101,4,17,32,3,12.7,0,0,0.9216,0.4319,0,20.01,0.523,1
0,100,9,8,74,9,3.2,1,3,0.7837,0.9757,14,10.64,0.6158,2
1,96,51,6,78,1,18.9,1,1,0.5002,0.0836,19,1.3,0.5808,1
3,136,29,14,14,5,8.4,0,1,0.138,0.2782,17,56.09,0.6251,2
5,111,10,23,68,1,110.7,2,0,0.6023,0.0203,12,12.9,0.6579,2
3,168,38,36,50,7,16.3,2,3,0.134,0.9741,15,8.6,0.7319,2
5,168,20,51,7,0,28.0,0,0,0.6339,0.8236,4,19.88,0.549,1
2,118,21,9,41,6,14.7,1,0,0.9331,0.9012,10,2.87,0.6078,2
7,124,26,5,59,25,32.1,2,0,0.5313,0.6935,15,15.44,0.7053,2
2,49,5,14,14,1,15.8,0,0,0.8406,0.5285,3,42.35,0.4078,1
7,139,4,26,25,2,0.9,0,0,0.0808,0.847,2,3.09,0.4663,1
6,63,42,15,12,9,22.5,2,0,0.2364,0.0586,5,13.23,0.5297,1
4,27,4,3,7,0,27.5,3,0,0.9078,0.5315,19,5.97,0.3804,1
5,107,3,7,8,0,8.4,3,0,0.2746,0.4686,1,14.59,0.4798,1
2,157,38,36,55,6,84.1,0,0,0.6471,0.5894,11,15.67,0.7417,2
3,75,1,17,22,6,26.5,0,2,0.1903,0.4076,17,15.01,0.5442,1
7,91,3,14,14,0,19.8,1,2,0.8535,0.381,6,18.76,0.4422,1
5,128,19,10,73,3,2.7,1,0,0.7624,0.8305,17,0.79,0.5097,1
5,13,1,5,3,0,2.8,0,2,0.5802,0.1543,6,3.73,0.1871,0
2,41,2,10,12,2,19.8,2,1,0.0763,0.4617,9,14.32,0.4255,1
6,24,2,7,4,1,3.3,3,0,0.4758,0.2042,14,28.94,0.349,0
3,74,0,0,25,4,12.9,2,0,0.422,0.6987,3,10.27,0.3742,1
5,137,3,0,24,0,44.4,0,2,0.5429,0.3151,19,18.26,0.501,1
2,97,4,17,42,11,22.6,3,2,0.7926,0.4166,10,11.24,0.7722,2
2,121,0,10,43,6,37.9,0,2,0.2345,0.2542,0,4.34,0.6009,2
7,125,10,6,50,5,68.0,3,3,0.8047,0.4644,1,2.76,0.6484,2
0,127,4,8,39,9,27.8,0,0,0.765,0.1971,4,6.64,0.554,1
7,161,66,23,57,3,62.6,1,3,0.4449,0.1312,5,9.48,0.6591,2
3,13,7,5,5,2,51.3,1,0,0.4689,0.3145,4,1.46,0.354,1
0,137,15,6,49,3,9.8,3,0,0.943,0.9826,12,8.05,0.58,1
4,131,9,1,19,4,0.8,1,2,0.5387,0.1493,12,9.05,0.5451,1
7,80,14,28,33,4,38.1,2,1,0.7358,0.8703,17,18.76,0.6184,2
0,59,8,1,41,12,0.6,0,2,0.9093,0.6328,11,10.26,0.4805,1
6,37,3,0,4,1,48.2,0,1,0.4255,0.2615,4,7.03,0.3167,0
7,73,40,38,21,3,33.4,1,0,0.1229,0.6526,3,22.57,0.4998,1
2,191,47,28,42,7,94.2,2,1,0.3277,0.5067,2,3.34,0.8394,3
3,161,13,5,59,8,11.7,0,1,0.3481,0.0202,10,0.12,0.5867,1
5,157,11,31,45,19,41.0,0,3,0.4833,0.6056,6,5.21,0.7923,2
0,129,54,5,21,3,48.4,0,3,0.6518,0.6588,1,17.0,0.7036,2
0,69,6,9,27,9,24.4,2,2,0.5453,0.7878,18,13.72,0.5971,1
7,135,24,37,16,7,1.2,2,1,0.5614,0.5512,15,4.78,0.6368,2
3,169,47,28,98,17,2.2,1,1,0.995,0.4751,10,12.49,0.7325,2
6,153,8,47,20,8,30.2,0,3,0.0569,0.8026,11,18.04,0.6771,2
6,25,0,1,11,2,20.0,2,3,0.6636,0.1756,8,1.46,0.3622,1
6,83,18,24,21,4,5.2,0,2,0.5137,0.7756,7,3.39,0.5366,1
2,93,32,2,38,3,1.8,2,2,0.2496,0.3997,12,1.28,0.6305,2
4,8,2,0,0,0,1.3,0,2,0.2244,0.6388,6,10.46,0.2146,0
6,35,16,7,10,3,64.8,0,2,0.0757,0.6789,11,1.57,0.3812,1
1,65,2,5,53,11,36.0,0,2,0.0891,0.7687,9,13.59,0.5585,1
6,119,28,0,9,0,24.2,2,2,0.7646,0.3019,18,66.15,0.5179,1
7,85,1,6,28,9,3.6,0,2,0.1542,0.0143,11,8.6,0.463,1
2,59,6,5,25,1,5.9,2,0,0.0939,0.8082,10,21.76,0.4461,1
7,144,26,36,46,1,45.7,1,3,0.2393,0.0223,14,0.02,0.6183,2
0,35,2,3,9,1,13.5,1,3,0.8305,0.9008,16,7.23,0.4239,1
4,137,23,30,81,33,29.8,2,2,0.7345,0.0901,1,5.93,0.7692,2
3,82,24,8,42,3,3.6,1,2,0.3236,0.5018,7,3.7,0.5795,1
2,182,7,13,60,5,3.8,0,1,0.6561,0.9581,19,2.67,0.5808,1
0,39,4,3,27,13,6.4,2,2,0.383,0.4532,6,10.42,0.5141,1
6,20,4,0,9,2,11.3,0,1,0.845,0.2253,1,3.9,0.1925,0
5,94,7,7,24,2,2.1,2,0,0.9714,0.1046,12,4.08,0.4442,1
4,18,0,2,4,1,17.6,0,1,0.8326,0.2328,12,3.78,0.2376,0
7,48,13,17,14,4,6.7,2,0,0.4128,0.1829,14,11.43,0.4373,1
6,180,35,39,129,11,38.2,0,0,0.1889,0.6536,19,10.92,0.5795,1
1,33,24,2,7,3,23.2,1,1,0.4386,0.7286,16,5.72,0.4646,1
5,94,7,7,30,10,40.4,1,1,0.1867,0.5632,8,12.53,0.5859,1
1,51,28,1,15,4,40.3,0,0,0.44,0.4506,7,14.16,0.4425,1
1,190,64,26,24,13,13.4,0,2,0.7836,0.9898,18,3.26,0.7287,2
4,90,0,39,34,0,7.4,1,2,0.9328,0.3898,16,12.58,0.6223,2
5,87,27,5,49,20,46.2,2,0,0.6332,0.3621,15,0.21,0.7312,2
1,68,1,20,32,2,0.5,2,2,0.9921,0.9095,19,1.4,0.5626,1
7,57,13,4,8,1,7.8,1,3,0.5183,0.1306,16,0.21,0.4731,1
6,130,5,11,41,1,70.0,1,1,0.9233,0.5237,13,0.38,0.5424,1
7,28,4,4,17,7,13.7,0,2,0.8725,0.1895,4,2.08,0.3949,1
0,74,18,16,65,11,19.6,0,2,0.1228,0.231,16,5.61,0.6325,2
6,158,17,17,87,18,1.4,2,2,0.229,0.1252,3,1.07,0.7025,2
5,25,7,12,3,0,2.3,0,2,0.3445,0.7047,14,3.91,0.3621,1
6,91,15,3,32,0,10.0,0,1,0.6911,0.9876,3,14.55,0.4431,1
1,145,53,11,47,7,4.1,1,1,0.0328,0.4701,2,2.38,0.6842,2
3,134,12,15,44,7,31.0,1,0,0.349,0.9399,9,2.96,0.609,2
5,37,11,1,6,0,25.8,3,2,0.4807,0.9923,18,9.33,0.4225,1
